nombre;tipo;agrupacion;detalle_tipo_rotacion;frecuencia;tema;fecha_inicio;fecha_fin;sede;categoria;entidad_organizadora;link
Capacitación para el Operativo ERCE 2025;Conferencia;Congresos y Convenciones;Local;Único;Educación;2025-08-08;2025-08-08;Universidad de Mendoza (UM);Académico;Dirección General de Escuelas (DGE);https://www.mendoza.gov.ar/prensa/dge-participo-en-capacitacion-a-coordinadores-de-escuelas-que-intervendran-en-el-operativo-erce-2025/
Defensa Oral de la Tesis de Maestría en Magistratura y Gestión Judicial Abog. Moira Daniela Núñez Porolli;Conferencia;Congresos y Convenciones;Local;Único;Identificación y valoración de los medios alternativos de resolución de conflictos en el concurso del consumidor;1970-01-01;2025-09-08;Casa de la Cultura;Académico;Facultad de Derecho;https://derecho.uncuyo.edu.ar/conferencias86
HIDROCARBUROS;Jornada;CONGRESOS Y CONVENCIONES;Desconocido;Desconocida;Producción de hidrocarburos;2024-08-22;2025-08-22;Asosiación de Trabajadores de la Sanidad Argentina (ATSA);Gubernamental;Gobierno de Mendoza;https://www.mendoza.gov.ar/prensa/energia-y-ambiente/energia-y-mineria/hidrocarburos/
Sexta Reunión de la Comisión de Integración Física y Energética del Consejo Federal de Relaciones Exteriores y Comercio Internacional;Congreso;Feria y Exposición;Nacional - Regional (Sur);Iráguilar;Integración económica y desarrollo regional;2025-08-22;2025-08-22;Instituto San Antonio;Gubernamental;Provincia de Mendoza;https://www.mendoza.gov.ar/prensa/mendoza-destaco-el-potencial-estrategico-del-paso-las-lenas-para-la-integracion-con-chile/
Integración de cámaras privadas al sistema de videovigilancia de Mendoza;Encuentro;CONGRESOS Y CONVENCIONES;Nacional - Regional (NOA);Único;Seguridad;2025-09-29;2025-09-29;Hotel Huentala;Seguridad;Gobierno provincial;https://www.mendoza.gov.ar/prensa/quince-nuevas-camaras-privadas-se-integran-al-sistema-de-videovigilancia-de-mendoza/
Conferencia Anual de Redes de Gobierno y Ciudades Inteligentes;Conferencia;Congresos y Convenciones;Nacional - Regional;Anual;Innovación y Technología;2025-09-17;2025-09-18;Gran Hotel Potrerillos;Gubernamental;Municipio de Luján de Cuyo;https://lujandecuyo.gob.ar/category/atencion-ciudadana-innovacion-y-modernizacion/
Reparación integral de la Ruta Nacional 143;Reparación de infraestructura vial;Congresos y Convenciones;Nacional - Regional (Sur de Mendoza);Uno;Infraestructura vial y transporte;2025-08-29;2027-12-31;Universidad Nacional de Cuyo (UNCUYO);Gubernamental;Gobierno de Mendoza;https://www.mendoza.gov.ar/prensa/el-gobierno-de-mendoza-avanza-con-el-llamado-a-licitacion-para-la-reparacion-integral-de-la-ruta-nacional-143/
Expo Educativa Mendoza 2025;Exposición;FERIAS Y EXPOSICIONES;Local;Único;Educativa;2025-08-07;2025-08-08;Nave Universitaria;Asociativo;FAD;https://fad.uncuyo.edu.ar/ingreso/expo-educativa-mendoza-2025
Wine Expo 2025;Exposición;Congresos y Convenciones;Desconocido;Único;Vitivinicultura;2025-08-14;2025-08-15;Hilton Mendoza;Asociativo;Hilton Mendoza y Wine of Mendoza (WOM);https://www.guaymallen.gob.ar/guaymallen-capital-del-espumante-dira-presente-en-la-wine-expo-2025/
Expo Educativa 2025;Exposición;Congresos y Convenciones;Local;Único;Educación;2025-08-07;2025-08-08;Nave Universitaria;Corporativo;Facultad de Filosofía y Letras;https://ffyl.uncuyo.edu.ar/estudiantes/expo-educativa-2025
Expo Educativa Mendoza 2025 - Caminos por descubrir;Exposición;Congresos y Convenciones;Local;Único;Educativa;2025-08-07;2025-08-08;Universidad de Mendoza (UM);Académico;Universidad de Mendoza;https://um.edu.ar/noticias/expo-educativa-mendoza-2025-caminos-por-descubrir/
Underc0de Day 2025;Congreso/Otro evento relacionado;Congreso y Convención;Nacional - Regional (Patagonia);Único;Tecnología, innovación y cultura digital;2025-09-06;2025-09-07;Cine Teatro Plaza de Godoy Cruz;Asociativo;Unidiversidad;https://www.unidiversidad.com.ar/underc0de-day-2025-la-expo-de-tecnologia-innovacion-y-cultura-digital-que-vuelve-a-transformar-mendoza
Wine Expo 2025;Exposición;FERIAS Y EXPOSICIONES;Internacional;Único;Enogastronomía;2025-08-14;2025-08-15;Hilton Mendoza;Asociativo;Hilton Mendoza y Wine of Mendoza (WOM);https://mendoza.puntoapunto.com.ar/wine-expo-2025-mas-de-130-bodegas-gastronomia-y-musica-en-la-feria-de-vinos-del-hilton-mendoza/
Expo Educativa Mendoza 2025;Feria;Congresos y Convenciones;Local;Irregular;Educación;2025-01-01;2025-01-01;Nave Cultural;Desconocida;Universidad Nacional de Cuyo;https://www.elsol.com.ar/mendoza/comienza-la-expo-educativa-mendoza-2025-con-mas-de-120-carreras-para-elegir/
Expo Edu-Innova;Exposición;CONGRESOS Y CONVENCIONES;NS/NC;Anual;Educación y tecnología;2025-10-01;2025-10-31;Cine Teatro Plaza de Godoy Cruz;Gubernamental;Municipalidad de Godoy Cruz;https://www.godoycruz.gob.ar/nueva-edicion-la-expo-edu-innova/
Expo Educativa;Feria educativa;Congresos y Convenciones;Local;Una vez;Educación superior;2025-01-01;2025-08-08;Nave Cultural;Académico;Universidades de Mendoza;https://www.elsol.com.ar/mendoza/comenzo-la-expo-educativa-en-mendoza-con-una-amplia-oferta-de-carreras/
Expo y Foro Industrial Mendoza 2025;Congreso;CONGRESOS Y CONVENCIONES;Nacional - Regional (NOA);Trimestral;Producción Sostenible;2025-09-02;2025-09-04;Espacio Cultural Julio Le Parc;Corporativo;ASINMET, FEM, Gobierno de Mendoza, Municipalidad de Guaymallén, UIM, CAFIM, ACOVI, IDITS, CAMEM, Plan Pilares y la UNCuyo;https://mendoza.puntoapunto.com.ar/para-potenciar-el-sector-productivo-local-se-realizara-la-expo-y-el-foro-industrial-mendoza-2025/
Expo Educativa Mendoza;Congreso;CONGRESOS Y CONVENCIONES;Región;Único;Oferta académica;2025-08-07;2025-08-08;Universidad de Mendoza (UM);Académico;Universidad Nacional de Cuyo;https://itu.uncuyo.edu.ar/si-te-interesa-estudiar-en-el-itu-uncuyo-veni-a-la-expo-educativa-mendoza
Expo Educativa Tupungato 2025;Exposición;Congresos y Convenciones;Nacional - Regional (Patagonia);Único;Educación;2025-08-14;2025-08-14;Polideportivo Municipal Deportistas Alvearenses;Institucional;Municipalidad de Tupungato;https://tupungato.gov.ar/?p=48933
Expo Educativa 2025;Exposición;FERIAS Y EXPOSICIONES;Desconocido;Único;Orientación vocacional y educativa;2025-08-07;2025-08-09;Nave Cultural;Corporativo;Subsecretaria de Transporte;https://www.mdzol.com/sociedad/comienza-la-expo-educativa-2025-y-habra-transporte-gratuito-estudiantes-n1309013
Seminario de 'Contrabando de mercader%C3%ADa: Actualidad de la figura';Seminario;CONGRESOS Y CONVENCIONES;Único;Único;Contrabando de mercadería;2025-08-29;2025-09-26;Universidad Nacional de Cuyo (UNCUYO);Académico;Universidad Nacional de Cuyo;https://derecho.uncuyo.edu.ar/seminario-de-contrabando-de-mercaderia-actualidad-de-la-figura
Seminar sobre Inteligencia Artificial y Protección de Datos;Seminario;CONGRESOS Y CONVENCIONES;Internacional;Único;Inteligencia Artificial y Protección de Datos;2025-09-03;2025-10-29;Centro de Convenciones y Exposiciones Thesaurus;Académico;Facultad de Derecho, UNCUYO;https://derecho.uncuyo.edu.ar/se-dictara-un-seminario-sobre-inteligencia-artificial-y-proteccion-de-datos-en-dos-versiones-espanol-e-italiano
Política Global, Comunicación e IA: Desafíos Emergentes en América Latina;CONFERENCIA;CONGRESOS Y CONVENCIONES;Desconocido;Desconocida;IA y Política;2025-08-28;2025-08-28;Universidad Nacional de Cuyo (UNCUYO);ACADÉMICO;Facultad de Ciencias Económicas;https://fce.uncuyo.edu.ar/participa-del-evento-politica-global-comunicacion-e-ia-desafios-emergentes-en-america-latina5065
Llamado a concurso docente efectivo - FCEN;Convocatoria;Congresos y convenciones;Nacional;Unico;Docencia y educación;2025-08-26;2025-10-13;Universidad Nacional de Cuyo (UNCUYO) - Facultad de Ciencias Exactas y Naturales (FCEN);Académico;Facultad de Ciencias Exactas y Naturales de la Universidad Nacional de Cuyo;https://fcen.uncuyo.edu.ar/llamado-a-concurso-docente-efectivo
Pisatón Mendoza 2025;Congreso;CONGRESOS Y CONVENCIONES;Nacional - Regional (Patagonia);Irregular;Educación, Evaluaciones Internacionales;2025-08-23;2025-08-30;Espacio Cultural Julio Le Parc;Académico;Gubernamental;https://www.mendoza.gov.ar/prensa/pisaton-mendoza-2025-ya-estan-los-finalistas-que-competiran-el-proximo-sabado/
UCA;Congreso;CONGRESOS Y CONVENCIONES;Ns/Nc;Anual;N/A;2025-12-18;2025-12-23;Dr. Adolfo Calle de Diario Los Andes;Académico;UCA - Universidad Católica Argentina;https://uca.edu.ar/es/eventos/2-foro-internacional-de-periodismo-democratico-periodismo-y-poder-dia-1
Homenaje a Emilia de Zuleta;CONGRESOS Y CONVENCIONES;CONGRESOS Y CONVENCIONES;Nacional - Regional (Centro);Único;Literatura Española;2025-09-09;2025-09-09;Secretaría de Cultura de Mendoza;Corporativo;Universidad Nacional de Cuyo;https://ffyl.uncuyo.edu.ar/emilia-de-zuleta-cumplio-100-anos
Colación de grado, pregrado y posgrado 2025;Congreso;Congresos y Convenciones;Nacional;Único;Egresados y Egresadas;2025-01-01;2025-02-28;Cine Teatro Plaza de Godoy Cruz;Académico;Facultad de Ciencias Médicas de la UNCUYO;https://fcm.uncuyo.edu.ar/categorias/index/egresados84
IV Jornadas Nacionales y III Jornadas Internacionales de Estudios Lingüísticos 2026;Jornada;CONGRESOS Y CONVENCIONES;Nacional - Regional (Centro);Único;La lengua como herramienta vital para educar y transformar;2026-04-15;2026-04-17;Universidad Nacional de Cuyo (UNCUYO) - Facultad de Filosofía y Letras;Académico;Instituto de Lingüística Joan Corominas, Secretaría de Extensión Universitaria, Secretaría de Políticas Lingüísticas y Secretaría de Extensión Universitaria de la Facultad de Filosofía y Letras;https://ffyl.uncuyo.edu.ar/se-extendio-el-plazo-de-presentacion-de-para-la-presentacion-de-resumenes-de-las-jeling-2026
Formación en Sistemas de Riesgo del Trabajo;Jornada;CONGRESOS Y CONVENCIONES;Nacional - Regional (NOA);Único;Riesgo Trabajo;2025-08-29;2025-08-29;FADIUNC;Académico;Facultad de Ciencias Médicas de la UNCUYO;https://fcm.uncuyo.edu.ar/cursos/item/formacion-en-sistemas-de-riesgo-del-trabajo
Inauguración del Polo Educativo Regional Ugacoop;Congreso;Desconocida;Provincial;Único;Educación;2025-08-29;2025-01-01;Predio ferial de General Alvear;Académico;Gobierno de Mendoza;https://www.mendoza.gov.ar/prensa/general-alvear-consolida-su-desarrollo-con-la-inauguracion-del-complejo-educativo-ugacoop-y-nuevos-avances-en-seguridad/
Programa Integral de Tribunales de Tratamiento de Drogas;Jornada;Desconocida;Nacional;Único;Salud Mental y Consumos Problemáticos;2025-08-18;2025-08-18;Universidad de Mendoza (UM);Gubernamental;Gobierno de Mendoza y Ministerio de Justicia de la Nación;https://www.mendoza.gov.ar/prensa/nacion-y-provincia-avanzan-en-la-implementacion-del-programa-integral-de-tribunales-de-tratamiento-de-drogas/
Meet Up;Conferencia;CONGRESOS Y CONVENCIONES;Nacional - Regional (Patagonia);Anual;Turismo de Eventos;2025-08-07;2025-08-10;Universidad de Mendoza (UM);Asociativo;Gobierno de Mendoza;https://www.mendoza.gov.ar/prensa/operadores-de-brasil-y-mexico-recorrieron-la-provincia/
Ruta de Artesanos y Emprendedores Mendocinos;Feria;Congresos y Convenciones;Local;Anual;Economía Social;2025-08-29;2025-09-30;Centro de Congresos y Exposiciones Francisco;Corporativo;Gobierno de Mendoza;https://www.mendoza.gov.ar/prensa/economia-social-agenda-de-septiembre-de-la-ruta-de-artesanos-y-emprendedores-mendocinos/
Ferias de invierno;Feria;Congresos y convenciones;Nacional - Regional (Litoral);Anual;Tecnología;2025-08-08;2025-08-10;Hilton Mendoza;Corporativo;Gobierno de Mendoza;https://www.mendoza.gov.ar/prensa/la-economia-social-se-fortalece-en-mendoza-con-mas-de-250-emprendimientos-en-ferias-de-invierno/
Feria Incentiva;Feria;Congresos y Convenciones;Nacional - Regional (NOA);Irregular;Educación superior y formación en oficios;2025-08-19;2025-08-21;Bodega Caro;Asociativo;Municipio de Río Cuarto;https://um.edu.ar/noticias/universidad-de-mendoza-presente-en-la-segunda-edicion-de-la-feria-incentiva/
